"Country","Year","Fuel","Value","Gen","Total"
"GB",2004,"Wind.Off",124,199,398768.045822479
"GB",2005,"Wind.Off",214,403,403747.050427987
"GB",2006,"Wind.Off",304,651,400947.046194641
"GB",2007,"Wind.Off",394,783,398186.031866394
"GB",2008,"Wind.Off",596.2,1335,395562.067082248
"GB",2009,"Wind.Off",951,1754,375759.017165984
"GB",2010,"Wind.Off",1341,3059.67,382301.951563082
"GB",2011,"Wind.Off",1838,5149.03,371271.183025679
"GB",2012,"Wind.Off",2995,7603.17,372951.517376256
"GB",2013,"Wind.Off",3696,11471.78,369797.360856345
"GB",2014,"Wind.Off",4501,13404.59,355396.601637142
"GB",2015,"Wind.Off",5093,17422.74,356455.643267585
"GB",2016,"Wind.Off",5293,16405.74,352032.647401563
"GB",2017,"Wind.Off",6988,20915.92,349317.346120953
"GB",2018,"Wind.Off",8180.5,26525.2,348606.815028284
"GB",2019,"Wind.Off",9888.1,31975.15,342612.909322293
"GB",2020,"Wind.Off",10382.9,40681.09,327119.51623074
"GB",2021,"Wind.Off",11255.5,35509.54,329999.966236323
"GB",2022,"Wind.Off",13927.5,45019.87,316575.765687012
"GB",2023,"Wind.Off",14732.5,,316575.765687012
