"Country","Year","Fuel","Value"
"AE",1971,"BWR",0
"AE",1972,"BWR",0
"AE",1973,"BWR",0
"AE",1976,"BWR",0
"AE",1977,"BWR",0
"AE",1978,"BWR",0
"AE",1979,"BWR",0
"AE",1980,"BWR",0
"AE",1981,"BWR",0
"AE",1982,"BWR",0
"AE",1983,"BWR",0
"AE",1984,"BWR",0
"AE",1985,"BWR",0
"AE",1986,"BWR",0
"AE",1987,"BWR",0
"AE",1988,"BWR",0
"AE",1989,"BWR",0
"AE",1990,"BWR",0
"AE",1991,"BWR",0
"AE",1992,"BWR",0
"AE",1993,"BWR",0
"AE",1994,"BWR",0
"AE",1995,"BWR",0
"AE",1996,"BWR",0
"AE",1997,"BWR",0
"AE",1998,"BWR",0
"AE",1999,"BWR",0
"AE",2000,"BWR",0
"AE",2001,"BWR",0
"AE",2002,"BWR",0
"AE",2003,"BWR",0
"AE",2004,"BWR",0
"AE",2005,"BWR",0
"AE",2006,"BWR",0
"AE",2007,"BWR",0
"AE",2008,"BWR",0
"AE",2009,"BWR",0
"AE",2010,"BWR",0
"AE",2011,"BWR",0
"AE",2012,"BWR",0
"AE",2013,"BWR",0
"AE",2014,"BWR",0
"AE",2015,"BWR",0
"AE",2016,"BWR",0
"AE",2017,"BWR",0
"AE",2018,"BWR",0
"AE",2019,"BWR",0
"AE",2020,"BWR",0
"AE",2021,"BWR",0
"AFR",1971,"BWR",257
"AFR",1972,"BWR",259
"AFR",1973,"BWR",254
"AFR",1976,"BWR",240
"AFR",1977,"BWR",246
"AFR",1978,"BWR",244
"AFR",1979,"BWR",252
"AFR",1980,"BWR",254
"AFR",1981,"BWR",264
"AFR",1982,"BWR",274
"AFR",1983,"BWR",256
"AFR",1984,"BWR",251
"AFR",1985,"BWR",283
"AFR",1986,"BWR",305
"AFR",1987,"BWR",311
"AFR",1988,"BWR",315
"AFR",1989,"BWR",309
"AFR",1990,"BWR",483
"AFR",1991,"BWR",527
"AFR",1992,"BWR",666
"AFR",1993,"BWR",724
"AFR",1994,"BWR",643
"AFR",1995,"BWR",708
"AFR",1996,"BWR",829
"AFR",1997,"BWR",940
"AFR",1998,"BWR",1102
"AFR",1999,"BWR",1105
"AFR",2000,"BWR",1411
"AFR",2001,"BWR",1452
"AFR",2002,"BWR",1436
"AFR",2003,"BWR",1419
"AFR",2004,"BWR",1587
"AFR",2005,"BWR",1597
"AFR",2006,"BWR",2350
"AFR",2007,"BWR",1760
"AFR",2008,"BWR",1814
"AFR",2009,"BWR",2316
"AFR",2010,"BWR",2367
"AFR",2011,"BWR",1947
"AFR",2012,"BWR",1946
"AFR",2013,"BWR",2075
"AFR",2014,"BWR",2048
"AFR",2015,"BWR",2353
"AFR",2016,"BWR",2355
"AFR",2017,"BWR",2214.617
"AFR",2018,"BWR",2219.794
"AFR",2019,"BWR",2241.608
"AFR",2020,"BWR",2163.044
"AFR",2021,"BWR",2173.001
"AL",1971,"BWR",0
"AL",1972,"BWR",0
"AL",1973,"BWR",0
"AL",1974,"BWR",0
"AL",1975,"BWR",0
"AL",1976,"BWR",0
"AL",1977,"BWR",0
"AL",1978,"BWR",0
"AL",1979,"BWR",0
"AL",1980,"BWR",0
"AL",1981,"BWR",0
"AL",1982,"BWR",0
"AL",1983,"BWR",0
"AL",1984,"BWR",0
"AL",1985,"BWR",0
"AL",1986,"BWR",0
"AL",1987,"BWR",0
"AL",1988,"BWR",0
"AL",1989,"BWR",0
"AL",1990,"BWR",0
"AL",1991,"BWR",0
"AL",1992,"BWR",0
"AL",1993,"BWR",0
"AL",1994,"BWR",0
"AL",1995,"BWR",0
"AL",1996,"BWR",0
"AL",1997,"BWR",0
"AL",1998,"BWR",0
"AL",1999,"BWR",0
"AL",2000,"BWR",0
"AL",2001,"BWR",0
"AL",2002,"BWR",0
"AL",2003,"BWR",0
"AL",2004,"BWR",0
"AL",2005,"BWR",0
"AL",2006,"BWR",0
"AL",2007,"BWR",0
"AL",2008,"BWR",0
"AL",2009,"BWR",0
"AL",2010,"BWR",0
"AL",2011,"BWR",0
"AL",2012,"BWR",0
"AL",2013,"BWR",0
"AL",2014,"BWR",0
"AL",2015,"BWR",0
"AL",2016,"BWR",0
"AL",2017,"BWR",0
"AL",2018,"BWR",0
"AL",2019,"BWR",0
"AL",2020,"BWR",0
"AL",2021,"BWR",0
"AL",2022,"BWR",0
"AM",1990,"BWR",0
"AM",1991,"BWR",0
"AM",1992,"BWR",0
"AM",1993,"BWR",0
"AM",1994,"BWR",0
"AM",1995,"BWR",0
"AM",1996,"BWR",0
"AM",1997,"BWR",0
"AM",1998,"BWR",0
"AM",1999,"BWR",0
"AM",2000,"BWR",0
"AM",2001,"BWR",0
"AM",2002,"BWR",0
"AM",2003,"BWR",0
"AM",2004,"BWR",0
"AM",2005,"BWR",0
"AM",2006,"BWR",0
"AM",2007,"BWR",0
"AM",2008,"BWR",0
"AM",2009,"BWR",0
"AM",2010,"BWR",0
"AM",2011,"BWR",0
"AM",2012,"BWR",0
"AM",2013,"BWR",0
"AM",2014,"BWR",0
"AM",2015,"BWR",0
"AM",2016,"BWR",0
"AM",2017,"BWR",0
"AM",2018,"BWR",0
"AM",2019,"BWR",0
"AM",2020,"BWR",0
"AM",2021,"BWR",0
"AO",1971,"BWR",0
"AO",1972,"BWR",0
"AO",1973,"BWR",0
"AO",1974,"BWR",0
"AO",1975,"BWR",0
"AO",1976,"BWR",0
"AO",1977,"BWR",0
"AO",1978,"BWR",0
"AO",1979,"BWR",0
"AO",1980,"BWR",0
"AO",1981,"BWR",0
"AO",1982,"BWR",0
"AO",1983,"BWR",0
"AO",1984,"BWR",0
"AO",1985,"BWR",0
"AO",1986,"BWR",0
"AO",1987,"BWR",0
"AO",1988,"BWR",0
"AO",1989,"BWR",0
"AO",1990,"BWR",0
"AO",1991,"BWR",0
"AO",1992,"BWR",0
"AO",1993,"BWR",0
"AO",1994,"BWR",0
"AO",1995,"BWR",0
"AO",1996,"BWR",0
"AO",1997,"BWR",0
"AO",1998,"BWR",0
"AO",1999,"BWR",0
"AO",2000,"BWR",0
"AO",2001,"BWR",0
"AO",2002,"BWR",0
"AO",2003,"BWR",0
"AO",2004,"BWR",0
"AO",2005,"BWR",0
"AO",2006,"BWR",0
"AO",2007,"BWR",0
"AO",2008,"BWR",0
"AO",2009,"BWR",0
"AO",2010,"BWR",0
"AO",2011,"BWR",0
"AO",2012,"BWR",0
"AO",2013,"BWR",0
"AO",2014,"BWR",0
"AO",2015,"BWR",0
"AO",2016,"BWR",0
"AO",2017,"BWR",0
"AO",2018,"BWR",0
"AO",2019,"BWR",0
"AO",2020,"BWR",0
"AO",2021,"BWR",0
"AR",1971,"BWR",59
"AR",1972,"BWR",76
"AR",1973,"BWR",60
"AR",1974,"BWR",61
"AR",1975,"BWR",64
"AR",1976,"BWR",61
"AR",1977,"BWR",64
"AR",1978,"BWR",64
"AR",1979,"BWR",95
"AR",1980,"BWR",99
"AR",1981,"BWR",87
"AR",1982,"BWR",115
"AR",1983,"BWR",155
"AR",1984,"BWR",115
"AR",1985,"BWR",120
"AR",1986,"BWR",124
"AR",1987,"BWR",106
"AR",1988,"BWR",123
"AR",1989,"BWR",106
"AR",1990,"BWR",133
"AR",1991,"BWR",131
"AR",1992,"BWR",130
"AR",1993,"BWR",96
"AR",1994,"BWR",99
"AR",1995,"BWR",119
"AR",1996,"BWR",223
"AR",1997,"BWR",271
"AR",1998,"BWR",283
"AR",1999,"BWR",262
"AR",2000,"BWR",386
"AR",2001,"BWR",363
"AR",2002,"BWR",530
"AR",2003,"BWR",892
"AR",2004,"BWR",818
"AR",2005,"BWR",870
"AR",2006,"BWR",809
"AR",2007,"BWR",884
"AR",2008,"BWR",988
"AR",2009,"BWR",991
"AR",2010,"BWR",1165
"AR",2011,"BWR",1162
"AR",2012,"BWR",1372
"AR",2013,"BWR",1314
"AR",2014,"BWR",988
"AR",2015,"BWR",1194
"AR",2016,"BWR",1214
"AR",2017,"BWR",1389.037
"AR",2018,"BWR",1360.108
"AR",2019,"BWR",1649.902
"AR",2020,"BWR",2313.315
"AR",2021,"BWR",2331.531
"AR",2022,"BWR",2340.565
"ASIA",1971,"BWR",5
"ASIA",1972,"BWR",5
"ASIA",1973,"BWR",5
"ASIA",1974,"BWR",5
"ASIA",1975,"BWR",5
"ASIA",1976,"BWR",5
"ASIA",1977,"BWR",5
"ASIA",1978,"BWR",6
"ASIA",1979,"BWR",27
"ASIA",1980,"BWR",27
"ASIA",1981,"BWR",370
"ASIA",1982,"BWR",372
"ASIA",1983,"BWR",881
"ASIA",1984,"BWR",856
"ASIA",1985,"BWR",1019
"ASIA",1986,"BWR",1110
"ASIA",1987,"BWR",488
"ASIA",1988,"BWR",491
"ASIA",1989,"BWR",699
"ASIA",1990,"BWR",795
"ASIA",1991,"BWR",557
"ASIA",1992,"BWR",574
"ASIA",1993,"BWR",551
"ASIA",1994,"BWR",581
"ASIA",1995,"BWR",1033.3
"ASIA",1996,"BWR",1745.5
"ASIA",1997,"BWR",1330.5
"ASIA",1998,"BWR",1390.5
"ASIA",1999,"BWR",2071.5
"ASIA",2000,"BWR",2086.5
"ASIA",2001,"BWR",2854.5
"ASIA",2002,"BWR",3744.3
"ASIA",2003,"BWR",4932.5
"ASIA",2004,"BWR",7499.42
"ASIA",2005,"BWR",9090.3
"ASIA",2006,"BWR",12039.343
"ASIA",2007,"BWR",14464.542
"ASIA",2008,"BWR",14359.81
"ASIA",2009,"BWR",19002.533
"ASIA",2010,"BWR",23763.84
"ASIA",2011,"BWR",27706.964
"ASIA",2012,"BWR",29279.3
"ASIA",2013,"BWR",34028.453
"ASIA",2014,"BWR",38719.283
"ASIA",2015,"BWR",38801.384
"ASIA",2016,"BWR",51683.064
"ASIA",2017,"BWR",56014.38
"ASIA",2018,"BWR",69049.846
"ASIA",2019,"BWR",71469.237
"ASIA",2020,"BWR",73721.923
"ASIA",2021,"BWR",79010.038
"AT",1960,"BWR",0
"AT",1961,"BWR",0
"AT",1962,"BWR",0
"AT",1963,"BWR",0
"AT",1964,"BWR",0
"AT",1965,"BWR",0
"AT",1966,"BWR",0
"AT",1967,"BWR",0
"AT",1968,"BWR",0
"AT",1969,"BWR",0
"AT",1970,"BWR",180
"AT",1971,"BWR",233
"AT",1972,"BWR",211
"AT",1973,"BWR",202
"AT",1974,"BWR",213
"AT",1975,"BWR",218
"AT",1976,"BWR",254
"AT",1977,"BWR",273
"AT",1978,"BWR",302
"AT",1979,"BWR",331
"AT",1980,"BWR",324
